Key,Description,en,es
throttleInteractable_859490,VR Interactable,Throttle,acelerador
autoAdjustJoyInteractable_856740,VR Interactable,Auto Adjust Joystick,Auto ajustar Joystick
joyParent_856842,VR Interactable,Joystick,Joystick
dButtonBase_857788,VR Interactable,Adjust Left,Ajustar Izquierda
dButtonBase (1)_856914,VR Interactable,Adjust Right,Ajustar Derecha
dButtonBase (2)_858724,VR Interactable,Adjust Forward,Ajustar Adelante
dButtonBase (3)_856684,VR Interactable,Adjust Back,Ajustar Atrás
dButtonBase (4)_860052,VR Interactable,Adjust Up,Ajustar Arriba
dButtonBase (5)_857762,VR Interactable,Adjust Down,Ajustar Abajo
ToggleAdjustJoyInteractable_855938,VR Interactable,Toggle Auto Adjust,Alternar Auto Ajustar
CockpitLightsInteractable_857330,VR Interactable,Cockpit Lights,Luces de Cabina
BayLightsInteractable_855990,VR Interactable,Bay Lights,Luces de Bahía
LabelBrightnessKnob_859032,VR Interactable,Instrument Brightness,Brillo Instrumental
LabelGlowPowerInteractable_859822,VR Interactable,Instrument Lights,Luces Instrumental
NavLightSwitchInteractable_857704,VR Interactable,Navigation Lights,Luces Navegación
StrobeSwitchInteractable_857192,VR Interactable,Strobe Lights,Luces Estroboscópicas
LandingLightSwitchInteractable_860068,VR Interactable,Landing Lights,Luces Aterrizaje
ejectInteractable_858246,VR Interactable,Eject,Ejectar
raiseSeatInter_857284,VR Interactable,Raise Seat,Subir Asiento
lowerSeatInter_856168,VR Interactable,Lower Seat,Bajar Asiento
ButtonText_855888,UI Text,"Recenter
seat",Recentrar Asiento
ButtonText_855804,UI Text,Restart,Reiniciar
ButtonText_858140,UI Text,"exit
mission",Salir de la Misión
ButtonText_859092,UI Text,"Quick
save",Guardado Rápido
ButtonText_857740,UI Text,Load,Cargar
ButtonText_856918,UI Text,Save,Guardar
helmVisorInteractable_857720,VR Interactable,Visor,Visor
helmNVGInteractable_856016,VR Interactable,NVG,VN
PendingText_857928,UI Text,in progress...,en progreso...
CompleteText_856172,UI Text,COMPLETE,COMPLETADO
MissionText_855910,UI Text,"MISSION
",MISION
FailedText_855830,UI Text,FAILED,FALLADO
Handle_112840,VR Interactable,Scroll,Scroll
Text_857226,UI Text,Restart Mission,Reiniciar Misión
ReturnButton_856630,VR Interactable,Return to Main,Volver al Menú
Text_859052,UI Text,Finish Mission,Terminar Misión
ToggleLogButton_860176,VR Interactable,Toggle Flight Log,Alternar Log de Vuelo
Text_859844,UI Text,Show/Hide Flight Log,Enseñar/Esconder Log de Vuelo
ContinueFlightButton_858160,VR Interactable,Continue Flight,Continuar Vuelo
Text_857174,UI Text,Flight log,Log de Vuelo
UpIcon_857052,VR Interactable,Scroll Up,Scroll arriba
DnIcon_859440,VR Interactable,Scroll Down,Scroll abajo
BottomIcon_857190,VR Interactable,To Bottom,Abajo
SaveToDiskText_857640,VR Interactable,Save Flight Log,Guardar Log de Vuelo
completionTimeLabel_-10687514,UI Text,Completion Time:,Tiempo de finalización:
releaseLabel_859238,UI Text,RELEASE,SOLTAR
AirspeedLabel_857044,UI Text,SPEED,VELOCIDAD
Label_858112,UI Text,TILT,INCL
Label_856174,UI Text,HULL,CHASIS
VertVelLabel_857254,UI Text,VERT,VERT
ASLText_858014,UI Text,ASL,SNM
RDRAltText_858872,UI Text,RDR,RDR
Text_857542,UI Text,[ COLLISION      WARNING ],[COLISIÓN	AVISO]
Text_859692,UI Text,[ STALL          WARNING ],[ENTRADA EN PÉRDIDA		AVISO]
Label_857754,UI Text,HDG,RUMBO
HudBrakeLock_858050,UI Text,[ BRAKE LOCK ],[FRENO DE MANO]
Label_164444,HUD unit label (g-force),G,G
Label_168976,HUD unit label (mach),M,M
Label_857238,UI Text,"HVR
ALT","EST
ALT"
Label_857834,UI Text,BRAKE,FRENO
Text_859476,UI Text,-[ CHECK GEAR ]-,-[ REVISA TREN ATERRIZAJE ]-
Text_703132,UI Text,PULL UP!,¡ELEVA EL MORRO!
visorButtonInteractable_855374,VR Interactable,Toggle Visor,Alternar Visor
nvgButtonInteractable_859612,VR Interactable,Toggle NVG,Alternar VN
HUDTintKnob_858060,VR Interactable,HUD Tint,Tinte HUD
HUDSpeedUnitsButton_858304,VR Interactable,Airspeed Units,Unidad de velocidad
SpeedUnitsLabel_858142,UI Text,TODO,POR HACER
ClrWptButton_859478,VR Interactable,Clear Waypoint,Borrar punto ruta
MasterCautionInteractable_855702,VR Interactable,Clear Cautions,Borrar Precauciones
AltitudeModeInteractable_859776,VR Interactable,Toggle Altitude Mode,Cambiar Modo Altitud
headingAPButton_858104,VR Interactable,Heading Hold,Mantener Rumbo
altitudeAPButton_855514,VR Interactable,Altitude Hold,Mantener Altitud
hoverAPButton_858476,VR Interactable,Hover Mode,Modo estacionario
offAPButton_857466,VR Interactable,All AP Off,Desactivar Todos los PA
navAPButton_855348,VR Interactable,Navigation Mode,Modo Navegación
hudPowerInteractable_855558,VR Interactable,HUD Power,Encender HUD
hmcsPowerInteractable_856320,VR Interactable,HMCS Power,Encender HMCS
HUDBrightKnob_855728,VR Interactable,HUD Brightness,Brillo HUD
HUDDeclutterKnob_858778,VR Interactable,HUD Declutter,Limpiar HUD
leftEngineSwitchInteractable_858214,VR Interactable,Left Engine,Motor Izquierdo
coverSwitchInteractable_leftEngine_858864,VR Interactable,Switch Cover,Cuvierta de Switch
rightEngineSwitchInteractable_857464,VR Interactable,Right Engine,Motor Derecho
apuSwitchInteractable_855502,VR Interactable,Auxilliary Power,APU
Label (1)_857692,UI Text,AV-42,AV-42
GearInteractable_856386,VR Interactable,Landing Gear,Tren de Aterrizaje
FlapsInteractable_855734,VR Interactable,Flaps,Flaps
HookInteractable_858430,VR Interactable,Arrestor Hook,Gancho de Detención
CatHookInteractable_859182,VR Interactable,Launch Bar,Barra de Lanzamiento
masterArmSwitchInteractable_859944,VR Interactable,Master Arm Switch,Switch Maestro Armamento
MasterJettisonButtonInteractable_856040,VR Interactable,Jettison,Soltar Carga
JettisonAllInteractable_860130,VR Interactable,JettisonAll,SoltarTodaCarga
JettisonEmptyInteractable_860042,VR Interactable,Jettison Empty,Soltar Carga vacía
ClearJettisonInteractable_856154,VR Interactable,Clear Jettison Marks,Borrar Marcas para Soltar Carga
Label (1)_858442,UI Text,QUICK START,COMIENZO RÁPIDO
QuickStartInteractable_857660,VR Interactable,Quickstart Engines,ComienzoRápido Motores
Label (1)_860014,UI Text,QUICK FLY,VUELO RÁPIDO
QuickFlyButton_857886,VR Interactable,QuickFly,VueloRápido
Text_856940,UI Text,"VR MFCD
1.0
","VR MFCD
1.0"
SaveToDiskText_857186,UI Text,Save to Disk,Guardar en el Disco
Title_856292,UI Text,"Spectator
Camera","Cámara
Espectador"
AutoFOVText_857446,UI Text,AutoFOV,AutoFOV
Title_859956,UI Text,HARDPOINTS,PUNTOS
JettisonText_859418,UI Text,ARMED,ARMADO
JettisonText_857292,UI Text,JETTISON,SOLTAR CARGA
BackText_856938,UI Text,BACK,ATRÁS
Title_859674,UI Text,ARAD,ARAD
