Key,Description,en,es
ejectInteractable_911648,VR Interactable,Eject,Ejectar
neckPTT_2582164,VR Interactable,Radio PTT,Radio PPH
ButtonText_952188,UI Text,"Recenter
seat","Recentrar
asiento"
ButtonText_954842,UI Text,"exit
mission","salir
misión"
ButtonText_915708,UI Text,"Recenter
seat","Recentrar
asiento"
ButtonText_913026,UI Text,Restart,Reiniciar
ButtonText_913894,UI Text,"exit
mission","salir
misión"
ButtonText_913940,UI Text,"Quick
save","Guardado
rápido"
ButtonText_915630,UI Text,Load,Cargar
ButtonText_913374,UI Text,Save,Guardar
Label_280922,HUD Unit label (mach),M,M
Label_280582,HUD Unit label (g-force),G,G
helmVisorInteractable_913784,VR Interactable,Visor,Visor
helmNVGInteractable_916002,VR Interactable,NVG,VN
PendingText_912704,UI Text,in progress...,en progreso...
CompleteText_915034,UI Text,COMPLETE,COMPLETADO
MissionText_913392,UI Text,"MISSION
",MISIÓN
FailedText_916378,UI Text,FAILED,FALLIDA
Handle_395644,VR Interactable,Scroll,Scroll
Text_913356,UI Text,Restart Mission,Reiniciar Misión
ReturnButton_915862,VR Interactable,Return to Main,Volver al Menú
Text_916314,UI Text,Finish Mission,Terminar Misión
ToggleLogButton_915924,VR Interactable,Toggle Flight Log,Alternar Log de Vuelo
Text_915514,UI Text,Show/Hide Flight Log,Enseñar/Esconder Log de Vuelo
ContinueFlightButton_914390,VR Interactable,Continue Flight,Continuar Vuelo
Quickload_414134,VR Interactable,Quickload,Cargadorápido
Text_913888,UI Text,Flight log,Log de Vuelo
UpIcon_915836,VR Interactable,Scroll Up,Scroll Arriba
DnIcon_916128,VR Interactable,Scroll Down,Scroll Abajo
BottomIcon_913766,VR Interactable,To Bottom,Abajo
SaveToDiskText_912244,VR Interactable,Save Flight Log,Guardar Log de Vuelo
completionTimeLabel_-10687514,UI Text,Completion Time:,Tiempo de finalización:
joyInteractable_915260,VR Interactable,Joystick,Joystick
joyAdjustInteractable_916106,VR Interactable,Adjust Joystick,Ajustar Joystick
AdjLeftButton_916408,VR Interactable,Adjust Left,Ajustar Izquierda
AdjRightButton_913538,VR Interactable,Adjust Right,Ajustar Derecha
AdjFwdButton_915546,VR Interactable,Adjust Forward,Ajustar Adelante
AdjBackButton_916410,VR Interactable,Adjust Back,Ajustar Atrás
AdjUpButton_912256,VR Interactable,Adjust Up,Ajustar Arriba
AdjDownButton_915128,VR Interactable,Adjust Down,Ajustar Abajo
ToggleAdjustJoyInteractable_911908,VR Interactable,Toggle Auto Adjust,Alternar Auto Ajustar
Text_915188,VT Text,AUTO,AUTO
releaseLabel_912934,UI Text,RELEASE,SOLTAR
loalText_299878,HUD when lock-on-after-launch AGM mode is active,LOAL,LOAL
Label_915698,UI Text,SPEED,VELOCIDAD
Label_916182,UI Text,HULL,CHASIS
Label_913628,UI Text,VERT,VERT
ASLText_915472,UI Text,ASL,SNM
RDRAltText_911650,UI Text,RDR,RDR
Text_912910,UI Text,[ COLLISION      WARNING ],[COLISIÓN	AVISO]
Text_915452,UI Text,[ STALL          WARNING ],[ENTRADA EN PÉRDIDA		AVISO]
Label_914952,UI Text,HDG,RUMBO
HudBrakeLock_912300,UI Text,[ BRAKE LOCK ],[FRENO DE MANO]
Text_913428,UI Text,-[ CHECK GEAR ]-,-[ REVISA TREN ATERRIZAJE ]-
Label_913926,UI Text,"HVR
ALT","EST
ALT"
Label_912198,UI Text,BRAKE,FRENO
Label_916010,UI Text,"RDR
BORESIGHT","RDR
BORESIGHT"
HudWingFold_914040,UI Text,[ WING FOLD ],[PLEGAR ALAS]
Label_912968,UI Text,TILT,INCLINACIÓN
Text_409944,UI Text,PULL UP!,¡ELEVA EL MORRO!
PresetsLabel_912374,UI Text,LAYOUT SET,DISTR
PortalPresetButton1_913502,VR Interactable,Preset 1,Preset 1
PortalPresetButton2_914226,VR Interactable,Preset 2,Preset 2
PortalPresetButton3_913676,VR Interactable,Preset 3,Preset 3
PortalPresetButton4_912162,VR Interactable,Preset 4,Preset 4
Saved_911584,UI Text,SAVED,GUARDADO
Text_914576,UI Text,"LAUNCH
WARNING","LANZADO
AVISO"
Text_412452,UI Text,MWS,MWS
MastCautFlash_915446,VR Interactable,Dismiss,Descartar
Text_912896,UI Text,"MASTER
CAUTION","MAESTRO
PRECAUCIÓN"
Text_930208,UI Text,AB,AB
Text_410182,UI Text,SHOOT,DISPARA
ClrWptButton_911890,VR Interactable,Clear Waypoint,Borrar Punto Ruta
