Key,Description,en,es
DemoText_746066,UI Text,DEMO,
SelectPilotButton_745718,VR Interactable,Select Existing Pilot,Selec Piloto Existente
Text_742314,UI Text,Select Pilot,Selec Piloto
NewPilotButton_745346,VR Interactable,Create New Pilot,Crear Nuevo Piloto
Text_742072,UI Text,New Pilot,Nuevo Piloto
QuitButton_740624,VR Interactable,Quit Game,Salir del Juego
Text_742474,UI Text,QUIT,SALIR
SettingsButton_747456,VR Interactable,Settings,Ajustes
Text_740102,UI Text,"Settings
",Ajustes
CreditsButton_-102322,VR Interactable,Game Credits,Créditos
Text_726044,UI Text,Credits,Créditos
VTOL VR (1)_747232,UI Text,VTEDIT,
EditorButton_743918,VR Interactable,Mission Editor,Editor Misiones
MapEditorButton_747578,VR Interactable,Map Editor,Editor Mapas
VTEDIT (1)_729932,UI Text,VT,
VTOL VR_744834,UI Text,VTOL VR,
Text_ACReadyToFly,UI Text,Ready to fly?,¿Listo para Volar?
Text_AC_SelectVehicle,UI Text,Select Vehicle,Selecciona un vehículo
Text_ACNewPilot,UI Text,New Pilot?,¿Nuevo Piloto?
Tutorials Button_-4966024,VR Interactable,Tutorials,Tutoriales
Text_ACTutorial,UI Text,Tutorial,Tutorial
Label_514208,UI Text,Pilot Name:,Nombre del Piloto:
EditNameButton_745868,VR Interactable,Edit Name,Editar Nombre
Text_743158,UI Text,Edit name,Editar nombre
BackButton_744184,VR Interactable,Back To Main,Volver al menú principal
Text_742734,UI Text,Back,Volver
StartButton_745400,VR Interactable,Start New Pilot,Empezar Nuevo Piloto
Text_744692,UI Text,Start,Empezar
InvalidName_740436,UI Text,[ Invalid Name ],[ Nombre Inválido ]
DeleteButton_740016,VR Interactable,Delete Pilot,Borrar Piloto
PILOTS_745628,UI Text,Pilots,Pilotos
NextPilotButton_747706,VR Interactable,Next Pilot,Siguiente Piloto
PrevPilotButton_741810,VR Interactable,Previous Pilot,Anterior Piloto
AreYouSure_743668,UI Text,Are you sure you want to delete?,¿Estas seguro de que quieres borrarlo?
Text_740860,UI Text,"Yes, Delete","Si, borrar"
NoDeleteButton_743870,VR Interactable,Cancel Delete,No Borrar
Text_745554,UI Text,"No, keep","No, mantener"
PILOTS_740912,UI Text,NO PILOTS,NO PILOTOS
PilotName_742564,UI Text,BDynamics,
Pilot name_744616,UI Text,Pilot name,Nombre del Piloto
EditPilotColorsButton_741944,VR Interactable,Edit Colors,Editar Colores
WorkshopBrowserButton_747088,VR Interactable,Steam Workshop Browser,Navegador del Steam Workshop
Text_509830,UI Text,Steam Workshop,
VEHICLES_747786,UI Text,VEHICLES,VEHÍCULOS
Text_743784,UI Text,SELECT VEHICLE,SELECCIONAR VEHÍCULO
NextVehButton_747140,VR Interactable,Next Vehicle,Siguiente Vehículo
PrevVehButton_746350,VR Interactable,Previous Vehicle,Anterior Vehículo
