Key,Description,en,es
AIM-120 Advanced Radar Missile_fullName,Full equip name of: AIM-120 Advanced Radar Missile,AIM-120 Advanced Radar Missile,AIM-120 Misil Radar Avanzado
AIM-120 Advanced Radar Missile_description,Item description of: AIM-120 Advanced Radar Missile,"Radar guided medium range air to air missile.
",Misil aire-aire de medio alcance guiado por radar
eqSublabel_RADAR-AAM,HUD sub-label of an equip,RADAR AAM,
AGM-89 Anti-ship Cruise Missile x2_fullName,Full equip name of: AGM-89 Anti-ship Cruise Missile x2,AGM-89 Anti-ship Cruise Missile x2,AGM-89 Misil de Crucero Anti-buque x2
AGM-89 Anti-ship Cruise Missile x2_description,Item description of: AGM-89 Anti-ship Cruise Missile x2,"Air-launched anti-ship cruise missile.  Equipped with waypoint following, radar target acquisition, and terminal maneuvering technology.","Misil de Crucero Anti-buque lanzado aereamente. Equipado con seguimiento de punto de ruta, adquisición de objetivo por radar y tecnología de maniobravilidad terminal."
eqSublabel_ANTI-SHIP-CRUISE,HUD sub-label of an equip,ANTI-SHIP CRUISE,CRUCERO ANTI-BUQUE
asml_terminalMode,An option for anti-ship cruise missiles' flight behavior in the last (terminal) phase of guidance.,TERMINAL MODE,MODO TERMINAL
asml_noTarget,HUD label shown when the selected anti-ship missile has no target.,NO TARGET,SIN OBJETIVO
asml_overRange,HUD label shown when the selected anti-ship missile has a target that is too far away.,OVER RANGE,FUERA RANGO
asml_inRange,HUD label shown when the selected anti-ship missile has a target that is within firing range.,IN RANGE,EN RANGO
asml_path,HUD label shown when the selected anti-ship missile will follow a flight path.,PATH,RUTA
asml_point,HUD label shown when the selected anti-ship missile will fly to a specific target point.,POINT,PUNTO
s_asmTmode_0,Antiship terminal guidance mode,Direct,Directo
s_asmTmode_1,Antiship terminal guidance mode,SeaSkim,
s_asmTmode_2,Antiship terminal guidance mode,SSEvasive,
s_asmTmode_3,Antiship terminal guidance mode,Popup,
ASM-66LR_fullName,Full equip name of: ASM-66LR,ASM-66LR,
ASM-66LR_description,Item description of: ASM-66LR,Active radar-guided surface to air missile. Equipped with first stage booster for extended range.,Misil Aire-Tierra guiado por radar activo. Equipado con un impulsor de primera etapa para un rango extendido.
GBU-38 Bomb x3_fullName,Full equip name of: GBU-38 Bomb x3,GBU-38 Bomb x3,GBU-38 bomba x3
